date,A,AA,AA.PB,AAC,AAN,AAP,AAT,AAV,AB,ABB
2015-12-31,41.476757,29.311611,31.322303,19.059999,22.321464,150.332053,37.647467,5.08,22.404291,17.032516
2016-01-04,40.365681,28.836447,31.096623,18.52,22.610577,152.060019,36.911206,4.95,22.20702,16.830778
2016-01-05,40.226797,27.529749,29.64852,19.459999,23.049231,151.02124,38.059775,4.99,21.699754,16.532972
2016-01-06,40.405363,25.569703,28.388481,19.01,21.304587,147.025969,38.020507,4.77,21.577633,16.254381
2016-01-07,38.689152,24.559981,27.081425,18.200001,20.606729,148.654046,37.205713,4.74,21.089155,15.94697
2016-01-08,38.28242,23.966027,26.940376,18.110001,20.26777,145.387908,36.871942,4.78,20.506737,15.668377
2016-01-11,37.6376,23.758144,26.498423,17.459999,20.487096,146.876152,37.117362,4.62,19.36069,15.668377
2016-01-12,37.885607,21.619912,24.354476,16.9,22.630516,147.89495,36.842489,4.69,19.727049,16.004609
2016-01-13,36.56621,21.174446,24.166412,16.24,20.676515,141.991934,36.597068,4.55,18.599788,15.658771
2016-01-14,37.310232,21.50112,24.260443,17.27,20.955658,141.152931,36.400735,4.73,18.966149,16.071855
2016-01-15,36.814217,20.4914,23.38594,16.77,22.321464,144.119405,35.988427,4.7,18.271005,15.428212
2016-01-19,36.9035,20.016236,22.915777,15.54,22.401219,144.449017,36.41055,4.32,17.538286,15.620345
2016-01-20,36.963019,20.016236,22.755921,16.360001,22.510883,143.220475,35.360152,4.93,17.049806,15.457033
2016-01-21,36.93326,21.055656,23.884313,16.540001,22.760117,143.629994,35.733192,5.1,17.463135,15.457033
2016-01-22,37.677282,20.402307,23.686845,16.690001,23.128986,144.259239,36.528351,5.23,18.55282,15.889331
2016-01-25,37.310232,20.194422,23.179067,18.35,21.89278,144.548905,36.29275,4.98,17.885858,15.677984
2016-01-26,37.211027,21.204144,24.147605,19.459999,22.939567,151.290925,36.979923,5.34,17.914039,16.014216
2016-01-27,36.754694,20.669585,23.630424,19.48,22.760117,151.340869,36.371282,5.24,17.538286,16.235167
2016-01-28,35.822188,20.788376,24.072379,17.15,21.992474,148.384361,36.174945,5.46,17.134351,16.263988
2016-01-29,37.349914,21.64961,24.777624,17.860001,22.809964,151.870241,36.705054,5.46,17.322228,16.619431
2016-02-01,37.389592,21.412027,24.796431,18.65,22.580668,154.706879,36.606887,5.36,17.679193,16.542579
2016-02-02,36.774535,20.699283,24.307461,18.02,21.135108,151.680463,36.41055,5.28,16.880717,16.100675
2016-02-03,36.893578,22.518672,25.219578,18.27,21.424219,147.765099,36.420365,5.5,17.012232,16.552185
2016-02-04,37.121744,24.785453,27.49517,19.58,21.39431,147.675209,36.597068,5.61,16.974655,16.936449
